year,totalAttend,dayLength,colorNote,notable
2024,1925904,12,1,Largest pumpkin record: 1808.5 lbs
2023,1835826,12,0,
2022,1842222,12,0,
2021,1301584,12,0,
2020,0,0,1,Covid Pandemic 
2019,2126551,12,1,Attendance record
2018,2046533,12,0,
2017,1997320,12,0,
2016,1943719,12,0,
2015,1779738,12,0,
2014,1824830,12,0,
2013,1731162,12,0,
2012,1788512,12,0,
2011,1769872,12,0,
2010,1776211,12,1,"Largest boar record: 1,450 lbs "
2009,1790497,12,0,
2008,1693263,12,0,
2007,1681678,12,0,
2006,1680579,12,0,
2005,1632876,12,0,
2004,1631940,12,0,
2003,1741825,12,0,
2002,1706486,12,0,
2001,1762976,12,1,SkyGlider debut
2000,1682625,12,0,
1999,1674450,12,0,
1998,1689034,12,0,
1997,1683454,12,0,
1996,1673976,12,0,
1995,1673312,12,0,
1994,1561930,12,0,
1993,1601325,12,0,
1992,1550603,12,0,
1991,1488810,12,0,
1990,1528688,12,0,
1989,1551361,12,0,
1988,1621279,12,0,
1987,1612178,12,0,
1986,1565349,12,0,
1985,1496014,12,1,Sweet Martha's cookie bucket debut
1984,1446450,12,0,
1983,1347884,12,1,Mascot 'Fairborne' debut
1982,1321785,12,0,
1981,1414809,12,0,
1980,1325360,12,0,
1979,1405669,12,1,Sweet Martha's debut 
1978,1386457,12,0,
1977,1299017,12,1,
1976,1266328,12,0,
1975,1385242,12,0,
1974,1596214,11,0,
1973,1440330,11,0,Fresh French Fries' debut
1972,1448977,11,0,
1971,1370210,10,1,DNR fish pond debut 
1970,1332784,10,0,
1969,1376887,10,1,Giant Slide debut
1968,1457829,10,1,Dairy building debut
1967,1355817,10,0,
1966,1359750,10,1,Mascot 'Fairchild' debut
1965,1176633,10,1,Princess Kay Butter Sculptures debut 
1964,1228474,10,1,Skyride debut
1963,1183125,10,0,
1962,1070204,10,0,
1961,1119595,10,0,
1960,1078408,10,0,
1959,1129738,10,0,
1958,1193661,10,0,
1957,1054484,10,0,
1956,1036736,10,1,Miracle of Birth Center debut
1955,1007101,10,1,All You Can Drink Milk' debut 
1954,946565,10,1,First statewide 'Princess Kay of Milky Way' contest
1953,865523,10,0,
1952,819015,10,0,
1951,900399,10,0,
1950,905563,10,1,Current Coliseum debut
1949,830040,10,1,Invention and debut of 'Tom Thumb' mini donuts 
1948,855011,10,0,
1947,902693,10,1,Pronto Pup debut 
1946,0,0,1,Polio Epidemic 
1945,0,0,1,Gas/Transportation Restrictions (WWII) 
1944,416498,10,1,Livestock barns converted into airplane propeller plant (WWII) - no competitions
1943,438813,10,1,Livestock barns converted into airplane propeller plant (WWII) - no competitions
1942,585334,10,0,
1941,762228,10,0,
1940,666720,10,1,4H building debut
1939,706619,10,0,
1938,582161,8,0,
1937,637025,8,1,Horse barn debut
1936,636484,8,0,
1935,526916,8,0,
1934,452614,8,1,DNR (formally: 'Conservation') Building debut (largest log structure in midwest)
1933,427765,8,0,
1932,331116,8,0,
1931,392669,8,1,Record high temperature of 104F
1930,460112,8,0,
1929,433268,8,0,
1928,457212,8,0,
1927,442747,8,1,Tilt-A-Whirl invention and debut
1926,411275,8,0,
1925,441232,8,0,
1924,413623,8,0,
1923,418828,8,0,
1922,393444,8,0,
1921,430905,8,0,
1920,535478,8,1,Cattle Barn debut
1919,581643,8,0,
1918,443365,6,1,No baked goods competition (WWI sugar rations) 
1917,397199,6,0,
1916,314104,6,0,
1915,339369,6,1,Ye Old Mill debuts
1914,321465,6,0,
1913,352438,6,0,
1912,364128,6,0,
1911,242145,6,0,
1910,318264,6,1,First airplane flight in MN - Set world record flight time of 25 minutes
1909,328678,6,1,Current Grandstand debut
1908,326743,6,0,
1907,286678,6,1,
1906,295263,6,1,Horse 'Dan Patch' sets world record in the mile (1:55) 
1905,273054,6,0,
1904,196098,6,1,Midway debut
1903,236243,6,0,
1902,227989,6,0,
1901,185642,6,1,Roosevelt: 'Speak Softly and Carry a Big Stick' Speech
1900,134441,6,0,
1899,53382,6,1,First year of electricity | Grandstand & firework shows debut
1898,84502,6,0,
1897,70643,6,1,Hamline Church Dinning Hall debut
1896,91970,6,0,
1895,82475,6,0,
1894,49080,6,0,
1893,0,0,1,Conflicted with World Exposition in Chicago
1892,63804,6,0,
1891,63592,6,0,
1890,47342,6,1,Record low temperature of 33F 
1889,66430,6,0,
1888,64049,6,0,
1887,92742,6,0,